Metric,Value
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,15
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,15
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,15
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,15
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19979
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19995
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000209835
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000181759
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000456449
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000181759
design_powergrid__voltage__worst,0.000181759
design_powergrid__voltage__worst__net:VPWR,1.19979
design_powergrid__drop__worst,0.000209835
design_powergrid__drop__worst__net:VPWR,0.000209835
design_powergrid__voltage__worst__net:VGND,0.000181759
design_powergrid__drop__worst__net:VGND,0.000181759
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000494000000000000013644467500295576201096992008388042449951171875
ir__drop__worst,0.000210000000000000008708311849403571613947860896587371826171875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
