Metric,Value
route__vias__multicut,0
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,1605.28
design__instance__count__class:fill_cell,8448
design__instance__area__class:fill_cell,38828.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19947
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.1998
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000534141
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00051209
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000200918
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00051209
design_powergrid__voltage__worst,0.00051209
design_powergrid__voltage__worst__net:VPWR,1.19947
design_powergrid__drop__worst,0.000534141
design_powergrid__drop__worst__net:VPWR,0.000534141
design_powergrid__voltage__worst__net:VGND,0.00051209
design_powergrid__drop__worst__net:VGND,0.00051209
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00020100000000000000678623823802126935333944857120513916015625
ir__drop__worst,0.00053399999999999996948274461061600959510542452335357666015625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
